"","Lake.ID","Bacillariophyta","Chlorophyta","Chrysophyta","Cryptophyta","Cyanophyta","Dinophyta","Euglenophyta","Microcystis","Total_biomass"
"1",1,0.664165482,0.240832777,0,0.511400246,54.763528062,0.805991839,0.311102181,54.37537004,57.297020587
"2",2,0.038482433,8.521237424,0.012451541,0.274106016,10.549419738,0,0,10.53857758,19.395697152
"3",3,0.450719992,0.295654134,0.180960974,0.096447191,2.51259545,0.433189474,0.243775081,1.852509703,4.213342296
"4",4,0.07488516,0.012243766,0,0,146.564233783,0,0,42.38077988,146.651362709
"5",5,0.572787417,0.020132901,0,0.024992566,23.26496608,0,0.231412647,0,24.114291611
"6",6,0.118063211,7.616926577,0.003155749,0.250902594,0,0,0.051363095,0,8.040411226
"7",7,1.49047227,0.245139669,0,0.417237825,59.325305353,5.571122423,0,56.18135909,67.04927754
"8",8,2.610953321,0.71404825,0.027935192,0.060476715,2.850888492,0.444768932,0.132964759,1.672365435,6.842035661
"9",9,3.45788441,0.850239541,0.027136373,0.742416174,1.226606372,2.608408996,1.763698996,0,10.676390862
"10",10,0.384901822,0.248406561,0.005671875,0.049434395,50.8465285,0.470703076,0,30.19669018,52.005646229
"11",11,2.312227392,1.141960426,0,3.660320488,14.342240386,0.180909151,0.048477999,0.387823992,21.686135842
"12",12,1.325340438,7.883941477,0,5.488187659,0,13.314638781,1.015449763,0,29.027558118
"13",13,0.0623526,1.644289265,0.00990611,0.065533449,0.178246464,0,0.383961942,0,2.34428983
"14",14,0.261254813,0.487771324,0,0.16249802,0.04278075,0,0,0,0.954304907
"15",15,12.94004372,1.040693636,0,0.607799841,3.996505554,0,0,0,18.585042751
"16",16,0.10220984,0.222303695,0,1.408806806,1.492344621,0.099364351,0,0,3.325029313
"17",17,0.228484653,0.4324805,0.15191287,0.348642819,1.494351566,0.308979769,0.664252361,0,3.629104538
"18",19,3.70397541,0.330196535,0,0.927972511,222.679555686,24.39404341,0,194.6560904,252.035743552
"19",21,0.042578699,0.18070214,0.151485923,0.182926398,86.328946544,0,0,33.53992838,86.886639704
"20",22,0.007166155,0.807352771,0,1.002149318,1.580257524,3.759228406,0.135078832,0.933797519,7.291233006
