LakeNo,Lake_Name,Ecoregion,Latitude,Longitude,Surface Area (km2),Max Depth (m),Mean Depth (m),Volume (m3),WatershedArea (km2),Crop,Grassland,Water,Forest,Urban
1,Arbor Lake,47f,41.73170603,-96.3245431,0.05,5.88,2.1,114220.248,3.96,12.8,22.6,3.3,9,52.3
2,Arrowhead Lake (Pottawatamie),47e,41.43590824,-95.59291005,0.06,4.24,1.86,106202.628,4.19,55.3,37.2,1.5,4,2
3,Arrowhead Lake (Sac),47b,42.29727915,-95.05121206,0.15,7.07,2.96,428017.56,0.6,34.5,26.3,14.5,17.4,7.3
4,Avenue of the Saints Pond,47c,42.70550988,-92.53683061,0.17,5.09,2.38,410748.84,,79.5,13.9,0.7,5.7,0
5,Badger Creek Lake,47f,41.46979313,-93.91078078,1.12,6.64,2.07,2280704.52,47.14,57.1,34.1,3.1,2.1,3.6
6,Badger Lake,47b,42.58629206,-94.19248929,0.21,5.06,1.95,413215.8,35.01,87.6,9.9,0.6,0.5,1.3
7,Beaver Lake,47f,41.53250936,-94.21242915,0.12,11.83,2.74,378678.36,4.15,58,28.3,5.3,0.7,7.7
8,Beeds Lake,47c,42.7704293,-93.23654474,0.36,7.59,2.83,1032176.064,76.75,82.8,12.5,0.9,0.8,3
9,Big Creek Lake,47b,41.7939504,-93.73184516,3.15,16.28,5.85,18314711.04,196.38,79.1,14,1.9,2,2.9
10,Big Spirit Lake,47b,43.47957253,-95.08384665,21.72,6.86,4.85,105249641.4,139.5,61.8,14.7,20.1,2.4,1.1
11,Black Hawk Lake,47b,42.29636764,-95.02905654,3.08,4.6,1.82,5535488.196,49.61,68.7,13.8,10.3,3.9,3
12,Blue Lake,47d,42.04415792,-96.15928042,1.11,3.47,1.68,1850836.74,6.43,53,27.5,9.2,6.8,3.5
13,Bob White Lake,40,40.71798936,-93.40025303,0.39,3.29,1.37,531629.88,14.2,69.1,18.8,3.3,5.6,3.2
14,Briggs Woods Lake,47b,42.43254824,-93.79825292,0.25,8.99,3.32,846537.324,27.23,82,13.5,1.3,0.9,2.2
15,Browns Lake,47d,42.30855062,-96.3245431,2.25,3.32,0.82,1865638.5,4.21,61.1,22.6,7.7,3.9,4.7
16,Brushy Creek Lake,47b,42.38857979,-93.97856662,2.79,23.62,8.02,22707996.76,228.08,85.9,10.2,1.6,0.9,1.3
17,Carter Lake,47d,41.28936895,-95.90476166,1.37,7.74,2.26,3076545.816,47.07,5,28.6,13.5,3.2,49.7
18,Casey Lake,47c,42.26493565,-92.31130519,0.15,6.1,2.26,342537.396,2.99,23.8,15.3,5.3,53.3,2.2
19,Center Lake,47b,43.41273029,-95.13631762,1.04,5.46,3.72,3862889.316,3.01,14.3,26.6,34.3,7.5,17.2
21,Clear Lake,47b,43.12523923,-93.41469015,14.75,5.52,3.08,45306213.79,48.88,42.8,13.1,31.7,4.4,8
22,Cold Springs Lake,47e,41.29207916,-95.08743176,0.06,4.72,2.1,126555.048,0.04,0.6,8.1,40.4,44.3,6.6
24,Crawford Creek Impoundment,47e,42.27584708,-95.60691838,0.25,8.47,2.9,741444.828,9.58,54.8,38.7,4.1,1.2,1.1
25,Crystal Lake,47b,43.23026848,-93.79239214,1.07,5.61,2.29,2445990.84,7.41,59.1,25.1,13,1.6,1.1
28,DeSoto Bend Lake,47d,41.53772766,-95.99849066,3.6,5.79,1.92,6909091.524,65.85,48.7,25.1,8,15.7,2.4
29,Diamond Lake,47f,41.58482817,-92.55604939,0.4,6.04,2.19,880828.068,11.04,52.6,28.9,5.3,8.3,4.8
30,Dog Creek Lake,47a,42.93639931,-95.46741722,0.15,6.61,2.01,312070.44,11.6,70.5,25.1,1.6,1.6,1.1
31,Don Williams Lake,47b,42.11233304,-94.02007623,0.63,12.56,4.36,2769162.6,78.46,86.7,10.7,0.9,0.6,1.2
32,East Lake Osceola,40,41.03245019,-93.74270229,0.06,4.66,2.01,111383.244,1,38.9,34,6,8.2,13
33,East Okoboji Lake,47b,43.38351301,-95.10813137,7.49,6.4,2.8,21253723.84,49.42,51.3,21.1,20.4,3.6,3.6
35,Eldred Sherwood Lake,47b,42.94156951,-93.56489107,0.09,6.52,2.41,217092.48,7.78,89.2,8.2,1.1,0.4,1.1
36,Five Island Lake,47b,43.14529073,-94.65831672,4.06,7.96,1.73,7020968.16,34.11,74.9,9.6,12,1.8,1.7
