Date,month,year,waterYear,ppt_mm
2016-10,10,2016,2017,25.09
2016-11,11,2016,2017,35.27
2016-12,12,2016,2017,36.98
2017-01,1,2017,2017,53.22
2017-02,2,2017,2017,39.43
2017-03,3,2017,2017,78.03
2017-04,4,2017,2017,75.07
2017-05,5,2017,2017,136.32
2017-06,6,2017,2017,54.07
2017-07,7,2017,2017,60.77
2017-08,8,2017,2017,73.66
2017-09,9,2017,2017,58.87
2017-10,10,2017,2018,143.18
2017-11,11,2017,2018,8.39
2017-12,12,2017,2018,10.06
2018-01,1,2018,2018,35.71
2018-02,2,2018,2018,40.53
2018-03,3,2018,2018,86.72
2018-04,4,2018,2018,38.46
2018-05,5,2018,2018,128.77
2018-06,6,2018,2018,282.17
2018-07,7,2018,2018,112.91
2018-08,8,2018,2018,183.93
2018-09,9,2018,2018,237.72
2018-10,10,2018,2019,108.21
2018-11,11,2018,2019,53.5
2018-12,12,2018,2019,65.94
2019-01,1,2019,2019,32.93
2019-02,2,2019,2019,56.33
2019-03,3,2019,2019,30.23
2019-04,4,2019,2019,56.31
2019-05,5,2019,2019,205.32
2019-06,6,2019,2019,90.68
2019-07,7,2019,2019,108.33
2019-08,8,2019,2019,51.69
2019-09,9,2019,2019,169.08
2019-10,10,2019,2020,139.83
2019-11,11,2019,2020,42.38
2019-12,12,2019,2020,32.21
2020-01,1,2020,2020,38.32
2020-02,2,2020,2020,13.79
2020-03,3,2020,2020,74.55
2020-04,4,2020,2020,55.41
2020-05,5,2020,2020,124.85
2020-06,6,2020,2020,57.52
2020-07,7,2020,2020,68.16
2020-08,8,2020,2020,56.85
2020-09,9,2020,2020,82.45
2020-10,10,2020,2021,42.99
2020-11,11,2020,2021,38.86
2020-12,12,2020,2021,34.17
2021-01,1,2021,2021,25.54
2021-02,2,2021,2021,16.91
2021-03,3,2021,2021,54.22
2021-04,4,2021,2021,14.13
2021-05,5,2021,2021,66.62
2021-06,6,2021,2021,70.87
2021-07,7,2021,2021,74.55
2021-08,8,2021,2021,77.41
2021-09,9,2021,2021,33.42
