year,beach,beach_lake,latitude,longitude,beach_detect
2017,Beeds Lake Beach,Beeds Lake,42.7683777,-93.244366,1
2018,Beeds Lake Beach,Beeds Lake,42.7683777,-93.244366,0
2019,Beeds Lake Beach,Beeds Lake,42.7683777,-93.244366,5
2020,Beeds Lake Beach,Beeds Lake,42.7683777,-93.244366,3
2021,Beeds Lake Beach,Beeds Lake,42.7683777,-93.244366,2
2022,Beeds Lake Beach,Beeds Lake,42.7683777,-93.244366,0
2017,Big Creek Beach,Big Creek,41.82010762,-93.73954251,1
2018,Big Creek Beach,Big Creek,41.82010762,-93.73954251,2
2019,Big Creek Beach,Big Creek,41.82010762,-93.73954251,1
2020,Big Creek Beach,Big Creek,41.82010762,-93.73954251,0
2021,Big Creek Beach,Big Creek,41.82010762,-93.73954251,0
2022,Big Creek Beach,Big Creek,41.82010762,-93.73954251,1
2017,Black Hawk Beach,Black Hawk Lake,42.2929896,-95.0167764,10
2018,Black Hawk Beach,Black Hawk Lake,42.2929896,-95.0167764,7
2019,Black Hawk Beach,Black Hawk Lake,42.2929896,-95.0167764,6
2020,Black Hawk Beach,Black Hawk Lake,42.2929896,-95.0167764,0
2021,Black Hawk Beach,Black Hawk Lake,42.2929896,-95.0167764,3
2022,Black Hawk Beach,Black Hawk Lake,42.2929896,-95.0167764,1
2017,Blue Lake Beach,Blue Lake,42.0414087,-96.16256083,3
2018,Blue Lake Beach,Blue Lake,42.0414087,-96.16256083,5
2019,Blue Lake Beach,Blue Lake,42.0414087,-96.16256083,1
2020,Blue Lake Beach,Blue Lake,42.0414087,-96.16256083,2
2021,Blue Lake Beach,Blue Lake,42.0414087,-96.16256083,0
2022,Blue Lake Beach,Blue Lake,42.0414087,-96.16256083,0
2017,Brushy Creek Beach,Brushy Creek Lake,42.39190426,-93.98467065,0
2018,Brushy Creek Beach,Brushy Creek Lake,42.39190426,-93.98467065,3
2019,Brushy Creek Beach,Brushy Creek Lake,42.39190426,-93.98467065,2
2020,Brushy Creek Beach,Brushy Creek Lake,42.39190426,-93.98467065,1
2021,Brushy Creek Beach,Brushy Creek Lake,42.39190426,-93.98467065,0
2022,Brushy Creek Beach,Brushy Creek Lake,42.39190426,-93.98467065,0
2017,Clear Lake State Park Beach,Clear Lake,43.1110858,-93.3961398,14
2018,Clear Lake State Park Beach,Clear Lake,43.1110858,-93.3961398,15
2019,Clear Lake State Park Beach,Clear Lake,43.1110858,-93.3961398,5
