"name","year","ppt","springT"
"Arbor Lake",2017,459.473007202148,9.28033399581909
"Arbor Lake",2018,457.772012710571,8.30466731389364
"Arbor Lake",2019,719.640998840332,7.50783330202103
"Arbor Lake",2020,548.170991897583,9.13043308258057
"Arbor Lake",2021,448.233594894409,10.8756664594014
"Arrowhead Lake (Pottawatamie)",2017,449.178995132446,10.5810006459554
"Arrowhead Lake (Pottawatamie)",2018,414.544006347656,9.68666712443034
"Arrowhead Lake (Pottawatamie)",2019,582.820993423462,8.48463327685992
"Arrowhead Lake (Pottawatamie)",2020,397.518005013466,9.73859977722168
"Arrowhead Lake (Pottawatamie)",2021,422.256996154785,10.8547665278117
"Arrowhead Lake (Sac)",2017,468.455993652344,8.57566690444946
"Arrowhead Lake (Sac)",2018,380.946000099182,7.66633367538452
"Arrowhead Lake (Sac)",2019,512.351000785828,6.64346647262573
"Arrowhead Lake (Sac)",2020,418.773003578186,8.46809983253479
"Arrowhead Lake (Sac)",2021,361.688886642456,9.65146636962891
"Avenue of the Saints Pond",2017,516.620998382568,8.50500055154165
"Avenue of the Saints Pond",2018,495.181998729706,7.25033348302046
"Avenue of the Saints Pond",2019,635.373003005981,6.80259986718496
"Avenue of the Saints Pond",2020,503.400996208191,8.55009969075521
"Avenue of the Saints Pond",2021,310.266795158386,9.5775998433431
"Badger Creek Lake",2017,454.207998275757,10.5376671155294
"Badger Creek Lake",2018,403.7580037117,9.53233369191488
"Badger Creek Lake",2019,575.281999588013,8.36696654558182
"Badger Creek Lake",2020,565.398000240326,9.9001661936442
"Badger Creek Lake",2021,463.298192977905,10.8213664690653
"Badger Lake",2017,472.837001800537,8.5306670665741
"Badger Lake",2018,560.948007583618,7.53800014654795
"Badger Lake",2019,593.93800163269,6.78346653779348
"Badger Lake",2020,498.867002487183,8.45213301976522
"Badger Lake",2021,368.005695343018,9.66169993082682
"Beaver Lake",2017,493.458000183105,10.1766670544942
"Beaver Lake",2018,445.452995300293,9.17400074005127
"Beaver Lake",2019,645.084991455078,8.073299964269
"Beaver Lake",2020,445.653993606567,9.55663315455119
"Beaver Lake",2021,399.181787490845,10.4675997098287
"Beeds Lake",2017,535.969003677368,8.14800041913986
"Beeds Lake",2018,622.700989723206,6.91066692769527
"Beeds Lake",2019,637.406009674072,6.3427996635437
"Beeds Lake",2020,570.638994216919,8.01659997304281
"Beeds Lake",2021,333.577790260315,9.27009963989258
"Big Creek Lake",2017,476.680004119873,10.3603338400523
"Big Creek Lake",2018,421.066002368927,9.3993337949117
"Big Creek Lake",2019,580.774005889893,8.36109986901283
"Big Creek Lake",2020,468.501010894775,9.96826632817586
"Big Creek Lake",2021,339.059989929199,11.1350665092468
"Big Spirit Lake",2017,463.416006088257,7.35900056858857
"Big Spirit Lake",2018,513.579995155334,5.8413333495458
"Big Spirit Lake",2019,672.752996444702,5.42133323351542
"Big Spirit Lake",2020,508.705997467041,7.18676658471425
"Big Spirit Lake",2021,319.531590461731,8.38356653849284
"Black Hawk Lake",2017,468.455993652344,8.57566690444946
"Black Hawk Lake",2018,380.946000099182,7.66633367538452
"Black Hawk Lake",2019,512.351000785828,6.64346647262573
"Black Hawk Lake",2020,418.773003578186,8.46809983253479
"Black Hawk Lake",2021,361.688886642456,9.65146636962891
"Blue Lake",2017,428.346008300781,10.0406668980916
"Blue Lake",2018,395.27200293541,9.01900045077006
"Blue Lake",2019,512.301997900009,7.77483314275742
"Blue Lake",2020,398.686994552612,9.21339972813924
"Blue Lake",2021,451.170198440552,10.4309995969137
"Bob White Lake",2017,444.317003726959,10.5583335558573
"Bob White Lake",2018,355.672001838684,9.65200034777323
"Bob White Lake",2019,857.149993896484,8.67816640933355
"Bob White Lake",2020,437.289998531342,9.71626663208008
"Bob White Lake",2021,465.511682510376,10.5487000147502
"Briggs Woods Lake",2017,451.529993057251,8.54766722520193
"Briggs Woods Lake",2018,472.207997322083,7.65833387772242
"Briggs Woods Lake",2019,601.895004272461,6.76346631844839
"Briggs Woods Lake",2020,507.748993873596,8.4516331354777
"Briggs Woods Lake",2021,336.960596084595,9.66576671600342
"Browns Lake",2017,401.812997817993,9.50033370653788
"Browns Lake",2018,449.158004522324,8.62466724713643
"Browns Lake",2019,517.351015213877,7.34663301706314
"Browns Lake",2020,414.361000061035,8.8668999671936
"Browns Lake",2021,385.843092918396,10.047733147939
"Brushy Creek Lake",2017,492.699998855591,8.81766708691915
"Brushy Creek Lake",2018,505.527009487152,7.95200033982595
"Brushy Creek Lake",2019,630.076990127563,7.05083302656809
"Brushy Creek Lake",2020,510.990005493164,8.59906633694967
"Brushy Creek Lake",2021,360.114091873169,9.8273663520813
"Carter Lake",2017,422.168994903564,11.4473342895508
"Carter Lake",2018,324.805998802185,10.5780005455017
"Carter Lake",2019,585.126008987427,9.741133193175
"Carter Lake",2020,403.461006581783,10.572299639384
"Carter Lake",2021,417.284893035889,11.6315328280131
"Casey Lake",2017,451.321996688843,8.91266711552938
"Casey Lake",2018,519.803998947144,7.91433352231979
"Casey Lake",2019,698.49499130249,7.06133298079173
"Casey Lake",2020,493.559000968933,8.62556632359823
"Casey Lake",2021,375.342691421509,9.6003999710083
"Center Lake",2017,470.593996047974,7.27400023738543
"Center Lake",2018,491.043991804123,6.05900009473165
"Center Lake",2019,656.273988723755,5.457133213679
"Center Lake",2020,537.391998291016,7.09693316618602
"Center Lake",2021,325.178298950195,8.24819978078206
"Clear Lake",2017,466.554998397827,7.53566697239876
"Clear Lake",2018,539.455002784729,6.22733350594839
"Clear Lake",2019,561.417007446289,5.76126639048258
"Clear Lake",2020,526.309995651245,7.47789978981018
"Clear Lake",2021,305.770490169525,8.80716633796692
"Cold Springs Lake",2017,496.920003890991,10.2396669387817
"Cold Springs Lake",2018,370.965997695923,9.32600053151449
"Cold Springs Lake",2019,576.654996871948,8.0672997534275
"Cold Springs Lake",2020,374.800006866455,9.38883288701375
"Cold Springs Lake",2021,376.800189971924,10.3625332514445
"Crawford Creek Impoundment",2017,440.794002532959,8.68566727638245
"Crawford Creek Impoundment",2018,399.578996181488,7.96533342202505
"Crawford Creek Impoundment",2019,493.267000747728,6.66530005137126
"Crawford Creek Impoundment",2020,408.348998069763,8.36863327026367
"Crawford Creek Impoundment",2021,374.558591842651,9.56666628519694
"Crystal Lake",2017,504.22500038147,7.53566701710224
"Crystal Lake",2018,495.626996994019,6.3550005753835
"Crystal Lake",2019,582.978992462158,5.74783301353455
"Crystal Lake",2020,463.29599571228,7.47013330459595
"Crystal Lake",2021,304.333393096924,8.61943324406942
