"","year","beach","lake_name","beach_detect","lake_detect","beach_logical","lake_logical","compare"
"1",2017,"Beeds Lake Beach","Beeds Lake",1,1,1,-1,0
"2",2018,"Beeds Lake Beach","Beeds Lake",0,0,0,0,0
"3",2019,"Beeds Lake Beach","Beeds Lake",5,2,1,-1,0
"4",2020,"Beeds Lake Beach","Beeds Lake",3,0,1,0,1
"5",2021,"Beeds Lake Beach","Beeds Lake",2,2,1,-1,0
"6",2022,"Beeds Lake Beach","Beeds Lake",0,0,0,0,0
"7",2017,"Big Creek Beach","Big Creek",1,0,1,0,1
"8",2018,"Big Creek Beach","Big Creek",2,0,1,0,1
"9",2019,"Big Creek Beach","Big Creek",1,0,1,0,1
"10",2020,"Big Creek Beach","Big Creek",0,0,0,0,0
"11",2021,"Big Creek Beach","Big Creek",0,0,0,0,0
"12",2022,"Big Creek Beach","Big Creek",1,0,1,0,1
"13",2017,"Black Hawk Beach","Black Hawk Lake",10,1,1,-1,0
"14",2018,"Black Hawk Beach","Black Hawk Lake",7,1,1,-1,0
"15",2019,"Black Hawk Beach","Black Hawk Lake",6,1,1,-1,0
"16",2020,"Black Hawk Beach","Black Hawk Lake",0,0,0,0,0
"17",2021,"Black Hawk Beach","Black Hawk Lake",3,0,1,0,1
"18",2022,"Black Hawk Beach","Black Hawk Lake",1,0,1,0,1
"19",2017,"Blue Lake Beach","Blue Lake",3,0,1,0,1
"20",2018,"Blue Lake Beach","Blue Lake",5,0,1,0,1
"21",2019,"Blue Lake Beach","Blue Lake",1,0,1,0,1
"22",2021,"Blue Lake Beach","Blue Lake",0,0,0,0,0
"23",2022,"Blue Lake Beach","Blue Lake",0,1,0,-1,-1
"24",2017,"Brushy Creek Beach","Brushy Creek Lake",0,0,0,0,0
"25",2018,"Brushy Creek Beach","Brushy Creek Lake",3,0,1,0,1
"26",2019,"Brushy Creek Beach","Brushy Creek Lake",2,0,1,0,1
"27",2020,"Brushy Creek Beach","Brushy Creek Lake",1,0,1,0,1
"28",2021,"Brushy Creek Beach","Brushy Creek Lake",0,0,0,0,0
"29",2022,"Brushy Creek Beach","Brushy Creek Lake",0,0,0,0,0
"30",2017,"Clear Lake State Park Beach","Clear Lake",14,2,1,-1,0
"31",2018,"Clear Lake State Park Beach","Clear Lake",15,2,1,-1,0
"32",2019,"Clear Lake State Park Beach","Clear Lake",5,2,1,-1,0
"33",2020,"Clear Lake State Park Beach","Clear Lake",7,1,1,-1,0
"34",2021,"Clear Lake State Park Beach","Clear Lake",7,3,1,-1,0
"35",2022,"Clear Lake State Park Beach","Clear Lake",1,1,1,-1,0
"36",2017,"Crandalls Beach","Big Spirit Lake",9,2,1,-1,0
"37",2018,"Crandalls Beach","Big Spirit Lake",10,2,1,-1,0
"38",2019,"Crandalls Beach","Big Spirit Lake",7,2,1,-1,0
"39",2021,"Crandalls Beach","Big Spirit Lake",2,1,1,-1,0
"40",2022,"Crandalls Beach","Big Spirit Lake",2,1,1,-1,0
"41",2017,"Denison Beach","Black Hawk Lake",8,1,1,-1,0
"42",2018,"Denison Beach","Black Hawk Lake",10,1,1,-1,0
"43",2019,"Denison Beach","Black Hawk Lake",3,1,1,-1,0
"44",2020,"Denison Beach","Black Hawk Lake",3,0,1,0,1
